target,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
30.8,0.0,0.1724137931034484,0.6842105263157894,0.0,,0.0,0.0,0.5416666666666666,0.5311004784688995,0.7142857142857142,0.5471698113207547,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.75,1.0,0.25,0.25,0.25,0.42857142857142855,0.25,0.5,0.5,0.25,1.0,1.0,1.0,1.0,1.0,0.5874587458745875,1.0,0.9999999999999998,0.4541484716157207,1.0,0.3830845771144279,0.3830845771144279,0.3830845771144279,0.4678899082568807,0.2914285714285715,0.7454545454545454,0.4366438356164383,0.2125,0.8453608247422681,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.8333333333333334,0.5,1.0,1.0,0.4,1.0,0.47500000000000003,0.47500000000000003,0.47500000000000003,0.4285714285714285,0.0,0.6129032258064516,0.3904761904761903,0.0,0.6129032258064516,0.0,0.3527272727272726,0.3527272727272727,0.3527272727272727,0.33090024330900225,0.17972350230414735,0.6217948717948717,0.3273905996758508,0.011111111111111072,0.898148148148148,0.39024390243902446,0.012877442273534635,0.047754811119030655,0.0,0.21656050955414016,0.4189456323624048,0.35382168138073633,0.7699514226231781,0.28084546132697774,0.9654288303669134,0.5730263157894737,0.15699870306519478,0.6460263286201853
6.1,0.0,0.44827586206896575,1.0,0.3571428571428571,0.719298245614035,0.0,0.0,0.5659722222222221,0.2631578947368421,0.42857142857142855,0.41509433962264153,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.3333333333333333,0.3333333333333333,0.25,0.3333333333333333,0.5,0.5,0.5,0.6428571428571428,0.5,0.5,0.75,0.5,1.0,0.8544061302681991,0.8544061302681991,0.8544061302681991,0.7010398613518196,0.4620462046204621,0.7049808429118773,0.6585510688836103,0.28820960698689957,0.7659574468085106,0.6318407960199005,0.6318407960199005,0.6318407960199005,0.6422018348623854,0.5771428571428572,0.6363636363636364,0.5993150684931505,0.4208333333333333,0.7216494845360825,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.33333333333333337,0.33333333333333337,0.25,0.3333333333333333,0.20000000000000007,0.25,0.9500000000000001,0.9500000000000001,0.9500000000000001,0.8333333333333334,0.6551724137931034,0.5483870967741935,0.7952380952380952,0.6551724137931034,0.5483870967741935,0.0,0.9563636363636361,0.9563636363636363,0.9563636363636363,0.9367396593673958,0.9447004608294931,0.6217948717948717,1.0,0.9333333333333333,0.898148148148148,0.5609756097560976,0.152753108348135,0.0,0.15038271049076993,0.14012738853503187,0.8024902492965686,0.17282828282828255,0.9376273950264982,0.0,0.8932842534363286,0.6574561403508772,0.28328967082011725,0.36177474402730375
15.4,1.0,0.3448275862068968,0.5263157894736841,0.07142857142857142,0.543859649122807,0.3333333333333333,0.25,0.42361111111111105,0.2822966507177033,0.14285714285714285,0.11320754716981132,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.25,0.0,0.2222222222222222,0.25,0.0,0.25,0.25,0.25,0.2857142857142857,0.25,0.0,0.3333333333333333,0.25,0.0,0.475095785440613,0.475095785440613,0.475095785440613,0.8232235701906412,1.0,0.475095785440613,0.7980997624703086,1.0000000000000002,0.5835866261398177,0.5422885572139303,0.5422885572139303,0.5422885572139303,0.44036697247706424,0.4742857142857143,0.3545454545454545,0.41095890410958896,0.3458333333333333,0.4020618556701031,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.41666666666666674,0.6666666666666666,0.25,0.4444444444444445,0.6,0.25,0.75,0.75,0.75,0.5873015873015871,0.3793103448275863,0.22580645161290322,0.5492063492063489,0.3793103448275863,0.22580645161290322,0.0,0.058181818181817974,0.05818181818181817,0.05818181818181817,0.5377128953771286,0.9447004608294931,0.10256410256410253,0.5569962182604,0.9333333333333333,0.14814814814814814,0.46341463414634154,0.02753108348134991,0.06628652886671418,0.2161188653759568,0.025477707006369435,0.9204464773067721,0.17060804119627626,0.8869179600886916,0.2313846629645965,0.9427491623452077,0.6086744639376218,0.6599382713259916,0.10336421257922968
19.8,0.0,0.0,0.7368421052631577,0.07142857142857142,0.4385964912280701,0.3333333333333333,0.0,0.4340277777777778,0.35406698564593303,0.5714285714285714,0.39622641509433965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.42857142857142855,0.5,0.0,0.5,0.5,0.0,0.6206896551724137,0.6206896551724137,0.6206896551724137,0.41247833622183716,0.2607260726072608,0.5325670498084292,0.19685273159144878,0.02183406113537134,0.3860182370820669,0.3681592039800995,0.3681592039800995,0.3681592039800995,0.6269113149847095,0.8971428571428571,0.2818181818181818,0.49657534246575336,0.6541666666666666,0.31958762886597936,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.25,0.33333333333333337,0.0,0.16666666666666669,0.20000000000000007,0.0,0.4,0.4,0.4,0.6666666666666666,0.4137931034482758,0.5161290322580645,0.7119047619047617,0.4137931034482758,0.5161290322580645,0.0,0.3963636363636362,0.3963636363636363,0.3963636363636363,0.5669099756690994,0.9447004608294931,0.10256410256410253,0.5239059967585089,0.9333333333333333,0.14814814814814814,0.853658536585366,0.0,0.010691375623663582,0.3762069138025914,0.09713375796178346,0.0,0.7389898989898989,0.0,0.2362406573380221,0.9335212679363761,,0.3777483946477715,0.4055057570415932
8.5,1.0,0.3103448275862073,0.5789473684210527,0.07142857142857142,0.33333333333333337,0.0,0.25,0.6875,0.492822966507177,0.14285714285714285,0.4716981132075472,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.3333333333333333,0.19999999999999998,0.25,0.0,0.5,0.5,0.5,0.8571428571428571,0.5,1.0,1.0,0.75,1.0,0.5172413793103448,0.5172413793103448,0.5172413793103448,0.4506065857885615,0.5643564356435644,0.2950191570881226,0.21496437054631823,0.42358078602620086,0.3677811550151976,0.11940298507462686,0.11940298507462686,0.11940298507462686,0.06727828746177378,0.17714285714285716,0.21818181818181814,0.31335616438356156,0.38749999999999996,0.24742268041237112,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.33333333333333337,0.33333333333333337,0.25,0.4000000000000001,0.20000000000000007,0.25,0.25,0.25,0.25,0.2857142857142857,0.1724137931034483,0.3225806451612903,0.15238095238095228,0.1724137931034483,0.22580645161290322,0.0,0.5563636363636364,0.5563636363636364,0.5563636363636364,0.2992700729927005,0.4377880184331797,0.10256410256410253,0.5753646677471635,0.9333333333333333,0.14814814814814814,0.6341463414634148,0.015097690941385432,0.0007127583749109018,0.12312226269902993,0.0,0.6453390543496551,0.4865375062096372,0.625,0.14363797393781305,0.9392694128649544,1.0,0.029613237127324943,0.4429894824824127
10.2,0.0,0.24137931034482785,0.7894736842105261,0.14285714285714285,0.22807017543859642,0.6666666666666666,0.5,0.35763888888888884,0.2296650717703349,0.14285714285714285,0.2452830188679245,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.25,0.0,0.19999999999999998,0.25,0.0,0.75,0.75,0.75,1.0,0.75,0.5,0.9,0.75,0.0,0.2988505747126437,0.2988505747126437,0.2988505747126437,0.6880415944540728,0.6996699669966997,0.2988505747126437,0.4121140142517814,0.6026200873362446,0.0,0.25870646766169153,0.25870646766169153,0.25870646766169153,0.2629969418960245,0.52,0.0,0.34075342465753417,0.37916666666666665,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,1.0,0.8333333333333334,0.5,1.0,0.8000000000000002,0.5,0.07500000000000001,0.07500000000000001,0.07500000000000001,0.4126984126984128,0.27586206896551724,0.0967741935483871,0.2952380952380952,0.27586206896551724,0.0967741935483871,0.0,0.14545454545454545,0.14545454545454545,0.14545454545454545,0.357664233576642,0.4377880184331797,0.2564102564102564,0.48298217179902747,0.9333333333333333,0.14814814814814814,0.853658536585366,0.006660746003552397,0.029935851746258027,0.3401523011569407,0.025477707006369435,0.5985753547591004,0.3038225391166566,0.4254079254079255,0.36897117021165515,0.9851930883608289,0.6622807017543859,0.0,0.0
10.3,1.0,0.5862068965517242,0.33333333333333326,0.07142857142857142,0.14035087719298245,0.0,0.0,0.3125,0.6889952153110048,0.42857142857142855,0.37735849056603776,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.25,0.0,0.19999999999999998,0.25,0.0,0.25,0.25,0.25,0.42857142857142855,0.5,0.0,0.4,0.5,0.0,0.3448275862068965,0.3448275862068965,0.3448275862068965,0.1109185441941074,0.1716171617161717,0.17241379310344823,0.2660332541567696,0.9082969432314412,0.3434650455927052,0.417910447761194,0.417910447761194,0.417910447761194,0.5626911314984709,0.36,0.8090909090909091,0.5222602739726028,0.5166666666666666,0.28865979381443296,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.41666666666666674,0.33333333333333337,0.25,0.2,0.20000000000000007,0.0,0.42500000000000004,0.42500000000000004,0.42500000000000004,0.31746031746031755,0.1724137931034483,0.29032258064516125,0.38095238095238093,0.4137931034482758,0.29032258064516125,0.0,0.20727272727272728,0.20727272727272722,0.20727272727272722,0.23114355231143513,0.4377880184331797,0.2564102564102564,0.14910858995137766,0.3222222222222224,0.14814814814814814,0.5609756097560976,0.006660746003552397,0.10406272273699217,0.19850918004902698,0.22149167865214714,0.5659606719677392,0.13654996567617905,0.6235431235431237,0.4981400414160494,0.9267508019298965,0.6287768031189084,0.8291706395650977,0.4417589561421838
15.4,0.0,0.3448275862068968,0.33333333333333326,0.21428571428571427,0.719298245614035,0.0,0.0,0.7118055555555556,1.0,0.14285714285714285,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.75,0.3333333333333333,0.5333333333333333,0.75,0.3333333333333333,0.25,0.25,0.25,0.7142857142857143,1.0,0.0,0.7,1.0,0.0,0.38697318007662834,0.38697318007662834,0.38697318007662834,0.45233968804159463,0.3729372937293729,0.38697318007662834,0.3859857482185274,0.17030567685589526,0.5136778115501519,0.3880597014925373,0.3880597014925373,0.3880597014925373,0.5749235474006117,0.6857142857142857,0.42727272727272725,0.6078767123287669,0.5,0.48453608247422686,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.33333333333333337,0.5,0.25,0.4000000000000001,0.4,0.25,0.925,0.925,0.925,0.761904761904762,0.6206896551724137,0.45161290322580644,0.4666666666666667,0.6206896551724137,0.3870967741935484,0.0,0.21090909090909093,0.21090909090909093,0.21090909090909093,0.0,0.0,0.2564102564102564,0.21717990275526744,0.3222222222222224,0.37037037037037035,0.5365853658536586,0.03285968028419183,0.0541696364932288,1.0,0.5350318471337581,0.3998296314992429,0.575802139037433,0.2887396694214879,0.29264410995451307,0.9278818464624857,0.9793233082706767,0.3401668189927225,0.4496192570501767
20.0,1.0,0.6551724137931036,0.21052631578947367,0.5,0.7368421052631579,0.6666666666666666,0.0,0.45138888888888884,0.4641148325358851,0.42857142857142855,0.39622641509433965,0.0,0.0,0.0,0.3333333333333333,0.5,0.0,0.39999999999999997,0.5,0.0,0.25,0.25,0.25,0.42857142857142855,0.5,0.0,0.5,0.5,0.0,0.8275862068965516,0.8275862068965516,0.8275862068965516,0.2201039861351819,0.43894389438943904,0.007662835249042155,0.18646080760094996,0.25764192139737996,0.21276595744680854,0.3781094527363184,0.3781094527363184,0.3781094527363184,0.12232415902140681,0.2857142857142857,0.19999999999999996,0.047945205479452024,0.20833333333333334,0.05154639175257733,0.0,0.0,0.0,0.08333333333333334,0.33333333333333337,0.0,0.2,0.20000000000000007,0.0,0.8250000000000001,0.8250000000000001,0.8250000000000001,0.7142857142857143,0.5517241379310345,0.22580645161290322,0.48571428571428565,0.5517241379310345,0.22580645161290322,0.0,0.3963636363636363,0.3963636363636363,0.3963636363636363,0.16788321167883202,0.23502304147465436,0.3653846153846153,0.21717990275526744,0.3222222222222224,0.37037037037037035,0.5365853658536586,0.0941385435168739,0.10121168923734854,0.14290308649348982,0.07643312101910829,0.699847060878773,0.21655165516551644,0.6751592356687899,0.1747807872087114,0.9274102025971942,0.5769230769230769,0.9060944433101459,0.18685069197014592
12.0,0.0,0.3103448275862073,0.21052631578947367,0.07142857142857142,0.543859649122807,0.0,0.25,0.7118055555555556,0.25837320574162675,0.5714285714285714,0.37735849056603776,0.0,0.0,0.0,0.2222222222222222,0.25,0.0,0.19999999999999998,0.25,0.0,0.25,0.25,0.25,0.8571428571428571,0.75,0.5,0.8,0.75,0.0,0.2911877394636015,0.2911877394636015,0.2911877394636015,0.20277296360485253,0.3465346534653466,0.22605363984674326,0.09501187648456044,0.1353711790393013,0.3860182370820669,0.0746268656716418,0.0746268656716418,0.0746268656716418,0.015290519877675823,0.11428571428571432,0.18181818181818182,0.23458904109589046,0.2958333333333333,0.2061855670103093,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.5,0.8333333333333334,0.25,0.3333333333333333,0.8000000000000002,0.0,0.0,0.0,0.0,0.031746031746031744,0.0,0.0,0.17142857142857137,0.13793103448275867,0.0,0.0,0.5636363636363637,0.5636363636363637,0.5636363636363637,0.4063260340632602,0.4470046082949308,0.3717948717948718,0.220421393841167,0.3333333333333335,0.37037037037037035,0.5365853658536586,0.044849023090586145,0.09836065573770493,0.7167942368302567,0.4491830517862089,0.81161510540612,0.35697377818589926,0.5317957904164803,0.3307136412404029,0.9255686570716222,0.5125893437296946,0.39393447472402343,0.4894247611824404
